job_title,company,job_profile,description,location,Level,Type,StandardJobTitle
Senior Software Architect,ArabDT,https://wuzzuf.net/jobs/p/2d8e8ff8-9c77-4223-a356-daae0afca1f0-Senior-Software-Architect-ArabDT-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=153,"Full Time · Part Time · Experienced · 12-15 Yrs of Exp · Information Technology (IT) · Solutions Architect · Solutions Architect Professional · Technology Solutions · Computer Science · Engineering - November 12, 2020","New Cairo, Cairo",Experienced,Full Time,Software Engneering 
IT Technical Support Specialist,CLS Learning Solutions,https://wuzzuf.net/jobs/p/b78c4ac4-7976-4aa5-8b39-c98664809df6-IT-Technical-Support-Specialist-CLS-Learning-Solutions-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=156,"Full Time · Experienced · 3+ Yrs of Exp · Males Only · IT Technical Support · IT Technical · Information Technology (IT) · Computer Science · CISCO · Information Security · MCSA · MCSE · Computer - October 7, 2020","Dokki, Giza",Experienced,Full Time,IT Category
Senior Software Engineer - Back End,Infinity Business Solutions,https://wuzzuf.net/jobs/p/a449bc5e-4dbf-4977-9f3f-1e139c0aa4e0-Senior-Software-Engineer---Back-End-Infinity-Business-Solutions-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=157,"Full Time · Experienced · 3-5 Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Software · SQL · Programming · APIs · Design · MongoDB - November 22, 2020","Maadi, Cairo",Experienced,Full Time,Software Engneering 
Software Technical Architect,Centro Global Solutions,https://wuzzuf.net/jobs/p/c183c704-4699-48f5-9dd3-bd59eeec12b1-Software-Technical-Architect-Centro-Global-Solutions-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=147,"Full Time · Experienced · 10+ Yrs of Exp · Information Technology (IT) · Computer Science · Computer Engineering · Software Technical Architecture · Software Development · Programming · Management - November 16, 2020","Maadi, Cairo",Experienced,Full Time,Software Engneering 
Senior Android Developer,CST Systems,https://wuzzuf.net/jobs/p/6126c9ff-c2df-46ea-9ae5-e080b9c0dbb3-Senior-Android-Developer-CST-Systems-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=144,"Full Time · Experienced · 3-5 Yrs of Exp · Android · Computer Science · Software Development · JAVA · Kotlin · REST · APIs · RESTful · SDK · Mobile Development · Android SDK · Software · UI - November 14, 2020","New Cairo, Cairo",Experienced,Full Time,Software Engneering 
Sales Account Manager - Software,PanExcel,https://wuzzuf.net/jobs/p/cdacd775-a0d5-4315-9374-b4d132553db7-Sales-Account-Manager---Software-PanExcel-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=149,"Full Time · Experienced · 3+ Yrs of Exp · Females Only · Business Development · IT · Sales Account · Sales · Sales Skills · Sales Target · IT Sales · English · IT/Software Development - October 13, 2020","Cairo, Egypt",Experienced,Full Time,Software Engneering 
IT Technical Support Specialist,proleaders,https://wuzzuf.net/jobs/p/cf90afa6-9aef-499d-9d14-df20ff2c935d-IT-Technical-Support-Specialist-proleaders-Alexandria-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=150,"Full Time · Experienced · 3+ Yrs of Exp · Information Technology (IT) · Technical Support · IT · Computer Science · Troubleshooting · CCNA · Engineering · MCSA · MCSE · Network · MCP · A+ - November 3, 2020","San Stefano, Alexandria",Experienced,Full Time,IT Category
IT System Analyst,ECS - Energy & Contracting Solutions,https://wuzzuf.net/jobs/p/807da10a-10e5-4bd7-aed3-c265790cba6a-IT-System-Analyst-ECS---Energy-Contracting-Solutions-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=151,"Full Time · Experienced · 4-7 Yrs of Exp · Information Technology (IT) · Linux · IT · System Analysis · Computer Science · CCNA · MCITP · ITIL · Wi-fi access · LAN · WAN · NAS · SAN · CCTV - October 22, 2020","Maadi, Cairo",Experienced,Full Time,IT Category
Motion Graphic Designer,Maxevia Corporate,https://wuzzuf.net/jobs/p/1a933657-ba8c-4012-b248-fafc43c77ff2-Motion-Graphic-Designer-Maxevia-Corporate-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1416,"Full Time · Experienced · 2-5 Yrs of Exp · Design · Graphic Design · Editing · Adobe Illustrator · Adobe Photoshop · Motion Graphics · Photo Editing · Editing Software · Creative/Design/Art - November 18, 2020","Nasr City, Cairo",Experienced,Full Time,Software Engneering 
Senior Automation Engineer,Flairstech,https://wuzzuf.net/jobs/p/490ac90f-cff1-433b-8b46-34862abcc1d4-Senior-Automation-Engineer-Flairstech-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1417,"Full Time · Experienced · 4-6 Yrs of Exp · Automation Testing · Java · Selenium · Testing · Software Testing · Automation · Computer Science · Information Technology (IT) · HTML · C# · Software - November 12, 2020","Maadi, Cairo",Experienced,Full Time,Software Engneering 
