job_title,company,job_profile,description,location,Level,Type,StandardJobTitle
Incident Management Engineer,Orange Business Services,https://wuzzuf.net/jobs/p/b7f71463-e67e-4ce3-93b1-93978b2952d9-Incident-Management-Engineer-Orange-Business-Services-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1747,Full Time · Entry Level · 0-2 Yrs of Exp · Computer Engineering · Communication Engineering · Computer Science · Information Technology (IT) · Customer Service · Technical Support · Networking - New,"Nasr City, Cairo",Entry Level,Full Time,Software Engneering 
First Line Technical Support Agent,IST Networks,https://wuzzuf.net/jobs/p/f8a91c7c-8023-43a4-ac1e-4d80d51cab49-First-Line-Technical-Support-Agent-IST-Networks-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1776,"Full Time · Entry Level · 1-5 Yrs of Exp · Technical Support · Information Technology (IT) · Engineering · Computer Science · Customer Support · Telecom Engineering · IT/Software Development - October 12, 2020","Cairo, Egypt",Entry Level,Full Time,Software Engneering 
Network Instructor,MICA,https://wuzzuf.net/jobs/p/676c09c0-f74d-4aa7-b5dc-86254718e4c3-Network-Instructor-MICA-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1767,"Full Time · Entry Level · 1-3 Yrs of Exp · Engineering · Information Technology (IT) · Training · CCNA · Firewalls · Security · Computer Science · IT/Software Development · Training/Instructor - November 8, 2020","Haram, Giza",Entry Level,Full Time,Software Engneering 
Internal Auditor,Construction & Design Co. SAE,https://wuzzuf.net/jobs/p/d0d65975-f73e-4db4-846f-a75b96454c73-Internal-Auditor-Construction-Design-Co-SAE-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1778,"Full Time · Entry Level · 1-3 Yrs of Exp · Males Preferred · Internal Audit · Auditor · Internal Auditor · Internal Auditing · Accounting · Finance · Auditing · Financial Analysis · Computer Skills - September 27, 2020","Downtown, Cairo",Entry Level,Full Time,Software Engneering 
Sales Agent,Hidden Name,https://wuzzuf.net/jobs/p/fce737b7-f383-476d-bbb8-7c0021708241-Sales-Agent-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1764,"Full Time · Entry Level · Startup · Sales · Sales Skills · Sales Target · Customer Care · Customer Support · Customer Service · English · IT · Social Media · Media · Customer Service/Support - November 4, 2020","Dokki, Giza",Entry Level,Full Time,Software Engneering 
CRM Executive,Tameer,https://wuzzuf.net/jobs/p/e10603d7-2357-419d-9a96-2ffd282046c7-CRM-Executive-Tameer-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1799,Full Time · Entry Level · 1-2 Yrs of Exp · CRM · Microsoft Excel · Microsoft Office · English · Software · Business Administration · Administration · Arabic · Real Estate · Administration - New,"Garden City, Cairo",Entry Level,Full Time,Software Engneering 
Administrative Assistant,Hidden Name,https://wuzzuf.net/jobs/p/57c1e20c-d0c8-497f-a146-34c0c7e39a57-Administrative-Assistant-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1794,"Full Time · Entry Level · 1-3 Yrs of Exp · Administration · Secretary · Assistant · Office Management · Microsoft Office · English · Sales · HR · Hubspot · Administration - November 22, 2020","New Cairo, Cairo",Entry Level,Full Time,Software Engneering 
Graphic Designer,Oriental Weavers,https://wuzzuf.net/jobs/p/fdcc0834-80fd-45eb-aa87-f4823db5a3b5-Graphic-Designer-Oriental-Weavers-Sharqia-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1790,"Full Time · Entry Level · 0-2 Yrs of Exp · Adobe Photoshop · Adobe Illustrator · Adobe Indesign · Design · Graphic Design · Photography · Creative · Adobe Dreamweaver · DreamWeaver · Photoshop - November 4, 2020","10th Of Ramadan City, Sharqia",Entry Level,Full Time,Software Engneering 
SIP Consultant,ARPUPLUS,https://wuzzuf.net/jobs/p/2aa865d6-8a02-4e1f-abaf-6f109a1b80a5-SIP-Consultant-ARPUPLUS-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1789,"· Entry Level · 1+ Yrs of Exp · SIP · Information Technology IT · Linux · Asterisk · Troubleshooting · VOIP · Installation/Maintenance/Repair · IT/Software Development - October 25, 2020","Agouza, Giza",Entry Level,Full Time,Software Engneering 
Videographer & Video Editor,Arrows,https://wuzzuf.net/jobs/p/49de00d8-610f-492c-b666-fd73676caf34-Videographer---Video-Editor-Arrows-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1782,"Part Time · Entry Level · 1-3 Yrs of Exp · Video Editing · Videographer · Adobe After Effects · Adobe Premiere · Final Cut · Studio Lighting · After Effects · Editing · Videography · Media - October 22, 2020","6th Of October, Giza",Entry Level,Full Time And Part Time,Software Engneering 
Backend Software Engineer,Garment IO,https://wuzzuf.net/jobs/p/6055e0e1-7ff9-45bb-96fa-d6c502e47cfa-Backend-Software-Engineer-Garment-IO-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=199,"Full Time · Entry Level · 1+ Yrs of Exp · NodeJS · MongoDB · Linux command-line · GIT · Google Cloud · ReactJS · Software Development · Information Technology (IT) · Programming - November 19, 2020","Sheikh Zayed, Giza",Entry Level,Full Time,Software Engneering 
IT Technical Support And Help Desk -...,Hidden Name,https://wuzzuf.net/jobs/p/2b263b07-02a8-45b7-9c8d-73b8b8d53ff5-IT-Technical-Support-And-Help-Desk---Multinational-Organization-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=200,"Full Time · Entry Level · 1-3 Yrs of Exp · Technical Support · Computer Science · Engineering · Help Desk · English · Information Technology (IT) · Computer Engineering · Installation · Maintenance - November 19, 2020","6th Of October, Giza",Entry Level,Full Time,IT Category
